   10   16     0     0  con    0  1.0D+00  2.8D-01  1.125D-02  1.333D+02
   11   17     0     0  con    0  1.0D+00  4.0D-01  1.075D-02  1.333D+02
   12   18     0     0  con    0  1.0D+00  1.0D+00  2.394D-02  1.333D+02
   13   19     0     0  con    0  1.0D+00  3.0D-01  1.313D-02  1.333D+02
   14   20     0     0  con    0  1.0D+00  3.4D-01  1.345D-02  1.333D+02
   15   21     0     0  con    0  1.0D+00  3.7D-01  2.074D-02  1.333D+02
   16   22     0     0  con    0  1.0D+00  5.2D-01  2.200D-02  1.332D+02
   17   23     0     0  con    0  1.0D+00  1.6D+00  1.914D-02  1.332D+02
   18   24     0     0  con    0  1.0D+00  4.0D-01  3.519D-02  1.332D+02
   19   25     0     0  con    0  1.0D+00  2.5D-01  1.589D-02  1.332D+02
   20   26     0     0  con    0  1.0D+00  4.1D-01  9.776D-03  1.332D+02
   21   27     0     0  con    0  1.0D+00  5.5D-01  1.319D-02  1.332D+02
   22   28     0     0  con    0  1.0D+00  7.7D-01  1.349D-02  1.332D+02
   23   29     0     0  con    0  1.0D+00  1.2D-01  9.714D-03  1.332D+02
   24   30     0     0  con    0  1.0D+00  2.9D-01  1.028D-02  1.332D+02
   25   31     0     0  con    0  1.0D+00  2.3D-01  9.890D-03  1.332D+02
   26   32     0     0  con    0  1.0D+00  4.0D-01  1.670D-02  1.332D+02
   27   33     0     0  con    0  1.0D+00  4.1D-01  7.466D-03  1.332D+02
   28   34     0     0  con    0  1.0D+00  1.7D-01  8.218D-03  1.332D+02
   29   35     0     0  con    0  1.0D+00  6.1D-01  1.300D-02  1.332D+02
   30   36     0     0  con    0  1.0D+00  5.7D-01  1.028D-02  1.332D+02
   31   37     0     0  con    0  1.0D+00  2.1D+00  2.700D-02  1.332D+02
   32   38     0     0  con    0  1.0D+00  3.4D-01  2.293D-02  1.332D+02
   33   39     0     0  con    0  1.0D+00  2.5D-01  1.130D-02  1.331D+02
   34   40     0     0  con    0  1.0D+00  3.2D-01  6.424D-03  1.331D+02
   35   41     0     0  con    0  1.0D+00  1.6D-01  7.083D-03  1.331D+02
   36   42     0     0  con    0  1.0D+00  6.0D-01  1.095D-02  1.331D+02
   37   43     0     0  con    0  1.0D+00  1.8D-01  1.118D-02  1.331D+02
   38   44     0     0  con    0  1.0D+00  2.1D-01  5.727D-03  1.331D+02
   39   45     0     0  con    0  1.0D+00  1.6D-01  6.644D-03  1.331D+02
   40   46     0     0  con    0  1.0D+00  4.4D-01  6.536D-03  1.331D+02
   41   47     0     0  con    0  1.0D+00  6.3D-01  5.385D-03  1.331D+02
   42   48     0     0  con    0  1.0D+00  1.7D-01  6.246D-03  1.331D+02
   43   49     0     0  con    0  1.0D+00  1.5D-01  1.039D-02  1.331D+02
   44   50     0     0  con    0  1.0D+00  3.3D-01  7.394D-03  1.331D+02
   45   51     0     0  con    0  1.0D+00  5.1D-01  5.642D-03  1.331D+02
   46   52     0     0  con    0  1.0D+00  5.4D-01  8.507D-03  1.331D+02
   47   53     0     0  con    0  1.0D+00  1.2D-01  5.849D-03  1.331D+02
   48   54     0     0  con    0  1.0D+00  3.1D-01  8.506D-03  1.331D+02
   49   55     0     0  con    0  1.0D+00  5.4D-01  8.271D-03  1.331D+02
   50   56     0     0  con    0  1.0D+00  1.2D+00  1.051D-02  1.331D+02
   51   57     0     0  con    0  1.0D+00  2.2D-01  6.583D-03  1.331D+02
   52   58     0     0  con    0  1.0D+00  1.8D-01  6.439D-03  1.331D+02
   53   59     0     0  con    0  1.0D+00  4.8D-01  7.177D-03  1.331D+02
   54   60     0     0  con    0  1.0D+00  4.5D-01  5.896D-03  1.331D+02
   55   61     0     0  con    0  1.0D+00  2.7D-01  7.823D-03  1.331D+02
   56   62     0     0  con    0  1.0D+00  2.8D-01  5.737D-03  1.331D+02
   57   63     0     0  con    0  1.0D+00  3.8D-01  5.936D-03  1.331D+02
   58   64     0     0  con    0  1.0D+00  2.5D-01  4.834D-03  1.331D+02
   59   65     0     0  con    0  1.0D+00  4.6D-01  6.767D-03  1.331D+02
   60   66     0     0  con    0  1.0D+00  5.8D-01  6.367D-03  1.331D+02
   61   67     0     0  con    0  1.0D+00  1.3D-01  3.392D-03  1.331D+02
   62   72     0     0  con    4  2.9D-03  4.2D-04  3.015D-03  1.331D+02
   63   78     0     0  con    5  1.9D-05  2.1D-04  3.194D-03  1.331D+02

CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH             

 Total User time 1.336E+02 seconds.

